file	accession	organism	n_contigs	total_len	domain	mag	n50	Completeness	Contamination
GCA_041394365.1_ASM4139436v1_genomic.fna	GCA_041394365.1	Acidimicrobiales bacterium (actinobacteria)	67	6812548	Bacteria	GCA_041394365.1_ASM4139436v1_genomic	273364	87.45	3.42
GCA_041394385.1_ASM4139438v1_genomic.fna	GCA_041394385.1	Microthrixaceae bacterium (actinobacteria)	12	3409416	Bacteria	GCA_041394385.1_ASM4139438v1_genomic	1135141	90.71	1.15
GCA_041394405.1_ASM4139440v1_genomic.fna	GCA_041394405.1	Microthrixaceae bacterium (actinobacteria)	21	4204043	Bacteria	GCA_041394405.1_ASM4139440v1_genomic	334898	94.82	0.27
GCA_041394425.1_ASM4139442v1_genomic.fna	GCA_041394425.1	Microthrixaceae bacterium (actinobacteria)	35	3579128	Bacteria	GCA_041394425.1_ASM4139442v1_genomic	277163	92.64	0.04
GCA_041394445.1_ASM4139444v1_genomic.fna	GCA_041394445.1	Microthrixaceae bacterium (actinobacteria)	42	3218118	Bacteria	GCA_041394445.1_ASM4139444v1_genomic	149448	66.77	1.35
GCA_041394465.1_ASM4139446v1_genomic.fna	GCA_041394465.1	Microthrixaceae bacterium (actinobacteria)	24	3262257	Bacteria	GCA_041394465.1_ASM4139446v1_genomic	334811	88.06	1.0
GCA_041394485.1_ASM4139448v1_genomic.fna	GCA_041394485.1	Microthrixaceae bacterium (actinobacteria)	72	3815617	Bacteria	GCA_041394485.1_ASM4139448v1_genomic	89919	78.2	0.27
GCA_041394505.1_ASM4139450v1_genomic.fna	GCA_041394505.1	Microthrixaceae bacterium (actinobacteria)	66	2456700	Bacteria	GCA_041394505.1_ASM4139450v1_genomic	89580	48.54	0.54
GCA_041394525.1_ASM4139452v1_genomic.fna	GCA_041394525.1	Ilumatobacteraceae bacterium (actinobacteria)	12	5700488	Bacteria	GCA_041394525.1_ASM4139452v1_genomic	3480684	97.66	0.77
GCA_041394545.1_ASM4139454v1_genomic.fna	GCA_041394545.1	Microthrixaceae bacterium (actinobacteria)	13	3652882	Bacteria	GCA_041394545.1_ASM4139454v1_genomic	567837	96.54	0.46
GCA_041394565.1_ASM4139456v1_genomic.fna	GCA_041394565.1	Ilumatobacteraceae bacterium (actinobacteria)	76	3922403	Bacteria	GCA_041394565.1_ASM4139456v1_genomic	123966	64.39	0.87
GCA_041394585.1_ASM4139458v1_genomic.fna	GCA_041394585.1	Ilumatobacteraceae bacterium (actinobacteria)	90	3852867	Bacteria	GCA_041394585.1_ASM4139458v1_genomic	82205	52.88	1.55
GCA_041394605.1_ASM4139460v1_genomic.fna	GCA_041394605.1	Ilumatobacteraceae bacterium (actinobacteria)	34	4199920	Bacteria	GCA_041394605.1_ASM4139460v1_genomic	232406	90.88	0.05
GCA_041394625.1_ASM4139462v1_genomic.fna	GCA_041394625.1	Ilumatobacteraceae bacterium (actinobacteria)	117	4182687	Bacteria	GCA_041394625.1_ASM4139462v1_genomic	68741	52.87	2.78
GCA_041394645.1_ASM4139464v1_genomic.fna	GCA_041394645.1	Ilumatobacteraceae bacterium (actinobacteria)	51	4680243	Bacteria	GCA_041394645.1_ASM4139464v1_genomic	182676	73.1	1.08
GCA_041394665.1_ASM4139466v1_genomic.fna	GCA_041394665.1	Vicinamibacterales bacterium (bacteria)	132	6177405	Bacteria	GCA_041394665.1_ASM4139466v1_genomic	140987	87.75	8.43
GCA_041394685.1_ASM4139468v1_genomic.fna	GCA_041394685.1	Vicinamibacterales bacterium (bacteria)	150	6258636	Bacteria	GCA_041394685.1_ASM4139468v1_genomic	154521	74.04	0.86
GCA_041394705.1_ASM4139470v1_genomic.fna	GCA_041394705.1	Vicinamibacterales bacterium (bacteria)	45	6252841	Bacteria	GCA_041394705.1_ASM4139470v1_genomic	293233	99.4	0.36
GCA_041394725.1_ASM4139472v1_genomic.fna	GCA_041394725.1	Vicinamibacterales bacterium (bacteria)	123	5476168	Bacteria	GCA_041394725.1_ASM4139472v1_genomic	88149	97.98	3.25
GCA_041394745.1_ASM4139474v1_genomic.fna	GCA_041394745.1	Thermoanaerobaculia bacterium (bacteria)	60	3628279	Bacteria	GCA_041394745.1_ASM4139474v1_genomic	134965	75.44	0.63
GCA_041394755.1_ASM4139475v1_genomic.fna	GCA_041394755.1	Thermoanaerobaculia bacterium (bacteria)	52	2537353	Bacteria	GCA_041394755.1_ASM4139475v1_genomic	87372	43.13	0.84
GCA_041394785.1_ASM4139478v1_genomic.fna	GCA_041394785.1	Pyrinomonadaceae bacterium (bacteria)	45	4166403	Bacteria	GCA_041394785.1_ASM4139478v1_genomic	151213	95.46	0.03
GCA_041394795.1_ASM4139479v1_genomic.fna	GCA_041394795.1	Pyrinomonadaceae bacterium (bacteria)	31	4338986	Bacteria	GCA_041394795.1_ASM4139479v1_genomic	325919	88.89	1.27
GCA_041394825.1_ASM4139482v1_genomic.fna	GCA_041394825.1	Bryobacterales bacterium (bacteria)	85	6747305	Bacteria	GCA_041394825.1_ASM4139482v1_genomic	184800	77.46	2.04
GCA_041394845.1_ASM4139484v1_genomic.fna	GCA_041394845.1	Pyrinomonadaceae bacterium (bacteria)	12	6029951	Bacteria	GCA_041394845.1_ASM4139484v1_genomic	856769	94.23	0.21
GCA_041394865.1_ASM4139486v1_genomic.fna	GCA_041394865.1	Pyrinomonadaceae bacterium (bacteria)	128	3297460	Bacteria	GCA_041394865.1_ASM4139486v1_genomic	63283	93.08	8.6
GCA_041394885.1_ASM4139488v1_genomic.fna	GCA_041394885.1	Bryobacteraceae bacterium (bacteria)	103	7414235	Bacteria	GCA_041394885.1_ASM4139488v1_genomic	125803	100.0	2.05
GCA_041394905.1_ASM4139490v1_genomic.fna	GCA_041394905.1	Bryobacterales bacterium (bacteria)	104	6845409	Bacteria	GCA_041394905.1_ASM4139490v1_genomic	219154	88.35	5.24
GCA_041394945.1_ASM4139494v1_genomic.fna	GCA_041394945.1	Bryobacteraceae bacterium (bacteria)	6	7995329	Bacteria	GCA_041394945.1_ASM4139494v1_genomic	1567131	98.07	4.4
GCA_041394985.1_ASM4139498v1_genomic.fna	GCA_041394985.1	Candidatus Zixiibacteriota bacterium (bacteria)	1	4456649	Bacteria	GCA_041394985.1_ASM4139498v1_genomic	4456649	93.94	0.43
GCA_041395025.1_ASM4139502v1_genomic.fna	GCA_041395025.1	Chlamydiales bacterium (chlamydias)	1	1319052	Bacteria	GCA_041395025.1_ASM4139502v1_genomic	1319052	97.4	0.09
GCA_041395045.1_ASM4139504v1_genomic.fna	GCA_041395045.1	Verrucomicrobiales bacterium (verrucomicrobia)	46	5571901	Bacteria	GCA_041395045.1_ASM4139504v1_genomic	211213	78.95	0.36
GCA_041395065.1_ASM4139506v1_genomic.fna	GCA_041395065.1	Prosthecobacter sp. (verrucomicrobia)	79	5188850	Bacteria	GCA_041395065.1_ASM4139506v1_genomic	103778	88.98	2.28
GCA_041395085.1_ASM4139508v1_genomic.fna	GCA_041395085.1	Verrucomicrobiales bacterium (verrucomicrobia)	86	8848871	Bacteria	GCA_041395085.1_ASM4139508v1_genomic	201565	92.29	2.68
GCA_041395105.1_ASM4139510v1_genomic.fna	GCA_041395105.1	Opitutaceae bacterium (verrucomicrobia)	14	5110079	Bacteria	GCA_041395105.1_ASM4139510v1_genomic	1157664	99.83	0.6
GCA_041395125.1_ASM4139512v1_genomic.fna	GCA_041395125.1	Opitutaceae bacterium (verrucomicrobia)	27	3424838	Bacteria	GCA_041395125.1_ASM4139512v1_genomic	190126	93.32	0.77
GCA_041395145.1_ASM4139514v1_genomic.fna	GCA_041395145.1	Verrucomicrobiales bacterium (verrucomicrobia)	135	6567457	Bacteria	GCA_041395145.1_ASM4139514v1_genomic	89087	78.11	1.37
GCA_041395165.1_ASM4139516v1_genomic.fna	GCA_041395165.1	Verrucomicrobiia bacterium (verrucomicrobia)	26	1776676	Bacteria	GCA_041395165.1_ASM4139516v1_genomic	119919	83.08	0.35
GCA_041395185.1_ASM4139518v1_genomic.fna	GCA_041395185.1	Lysobacteraceae bacterium (g-proteobacteria)	105	2833476	Bacteria	GCA_041395185.1_ASM4139518v1_genomic	55520	71.48	3.98
GCA_041395205.1_ASM4139520v1_genomic.fna	GCA_041395205.1	bacterium (bacteria)	16	3968113	Bacteria	GCA_041395205.1_ASM4139520v1_genomic	680829	93.33	0.29
GCA_041395225.1_ASM4139522v1_genomic.fna	GCA_041395225.1	Lysobacteraceae bacterium (g-proteobacteria)	29	2990244	Bacteria	GCA_041395225.1_ASM4139522v1_genomic	212844	97.53	0.17
GCA_041395245.1_ASM4139524v1_genomic.fna	GCA_041395245.1	Lysobacteraceae bacterium (g-proteobacteria)	32	3767407	Bacteria	GCA_041395245.1_ASM4139524v1_genomic	204867	96.88	1.51
GCA_041395265.1_ASM4139526v1_genomic.fna	GCA_041395265.1	Lysobacteraceae bacterium (g-proteobacteria)	36	2859211	Bacteria	GCA_041395265.1_ASM4139526v1_genomic	124054	79.84	0.44
GCA_041395285.1_ASM4139528v1_genomic.fna	GCA_041395285.1	Lysobacteraceae bacterium (g-proteobacteria)	39	3639897	Bacteria	GCA_041395285.1_ASM4139528v1_genomic	169284	95.91	1.11
GCA_041395305.1_ASM4139530v1_genomic.fna	GCA_041395305.1	Dokdonella sp. (g-proteobacteria)	55	4154576	Bacteria	GCA_041395305.1_ASM4139530v1_genomic	157589	87.84	0.04
GCA_041395325.1_ASM4139532v1_genomic.fna	GCA_041395325.1	Lysobacterales bacterium (g-proteobacteria)	62	5149935	Bacteria	GCA_041395325.1_ASM4139532v1_genomic	135778	99.78	0.39
GCA_041395345.1_ASM4139534v1_genomic.fna	GCA_041395345.1	Dokdonella sp. (g-proteobacteria)	36	4054573	Bacteria	GCA_041395345.1_ASM4139534v1_genomic	189593	95.85	3.81
GCA_041395365.1_ASM4139536v1_genomic.fna	GCA_041395365.1	Lysobacterales bacterium (g-proteobacteria)	53	5279243	Bacteria	GCA_041395365.1_ASM4139536v1_genomic	166780	99.97	0.13
GCA_041395385.1_ASM4139538v1_genomic.fna	GCA_041395385.1	Gammaproteobacteria bacterium (g-proteobacteria)	48	3625620	Bacteria	GCA_041395385.1_ASM4139538v1_genomic	145372	93.85	1.47
GCA_041395405.1_ASM4139540v1_genomic.fna	GCA_041395405.1	Thiothrix sp. (g-proteobacteria)	118	3261757	Bacteria	GCA_041395405.1_ASM4139540v1_genomic	52039	81.96	2.09
GCA_041395425.1_ASM4139542v1_genomic.fna	GCA_041395425.1	Thiolinea sp. (g-proteobacteria)	150	2856979	Bacteria	GCA_041395425.1_ASM4139542v1_genomic	30496	45.7	4.25
GCA_041395445.1_ASM4139544v1_genomic.fna	GCA_041395445.1	Gammaproteobacteria bacterium (g-proteobacteria)	13	2882429	Bacteria	GCA_041395445.1_ASM4139544v1_genomic	492979	96.11	0.03
GCA_041395465.1_ASM4139546v1_genomic.fna	GCA_041395465.1	Marinicella sp. (g-proteobacteria)	23	3696272	Bacteria	GCA_041395465.1_ASM4139546v1_genomic	322006	99.01	0.2
GCA_041395485.1_ASM4139548v1_genomic.fna	GCA_041395485.1	Thiolinea sp. (g-proteobacteria)	9	4699116	Bacteria	GCA_041395485.1_ASM4139548v1_genomic	1000864	99.77	0.95
GCA_041395505.1_ASM4139550v1_genomic.fna	GCA_041395505.1	Steroidobacteraceae bacterium (g-proteobacteria)	2	3630915	Bacteria	GCA_041395505.1_ASM4139550v1_genomic	2719558	97.25	0.14
GCA_041395525.1_ASM4139552v1_genomic.fna	GCA_041395525.1	Steroidobacteraceae bacterium (g-proteobacteria)	34	2807230	Bacteria	GCA_041395525.1_ASM4139552v1_genomic	147814	86.83	0.39
GCA_041395545.1_ASM4139554v1_genomic.fna	GCA_041395545.1	Thiolinea sp. (g-proteobacteria)	108	4203573	Bacteria	GCA_041395545.1_ASM4139554v1_genomic	98582	80.61	7.56
GCA_041395565.1_ASM4139556v1_genomic.fna	GCA_041395565.1	Pseudomonadota bacterium (proteobacteria)	14	3401469	Bacteria	GCA_041395565.1_ASM4139556v1_genomic	404165	99.91	1.4
GCA_041395585.1_ASM4139558v1_genomic.fna	GCA_041395585.1	Steroidobacteraceae bacterium (g-proteobacteria)	6	3538312	Bacteria	GCA_041395585.1_ASM4139558v1_genomic	1003722	98.93	0.65
GCA_041395605.1_ASM4139560v1_genomic.fna	GCA_041395605.1	Steroidobacteraceae bacterium (g-proteobacteria)	59	2484961	Bacteria	GCA_041395605.1_ASM4139560v1_genomic	68003	53.91	0.51
GCA_041395625.1_ASM4139562v1_genomic.fna	GCA_041395625.1	Steroidobacteraceae bacterium (g-proteobacteria)	12	4006325	Bacteria	GCA_041395625.1_ASM4139562v1_genomic	1258694	99.25	0.55
GCA_041395645.1_ASM4139564v1_genomic.fna	GCA_041395645.1	Steroidobacteraceae bacterium (g-proteobacteria)	22	2973604	Bacteria	GCA_041395645.1_ASM4139564v1_genomic	314880	91.74	0.2
GCA_041395665.1_ASM4139566v1_genomic.fna	GCA_041395665.1	Pseudomonadales bacterium (g-proteobacteria)	11	2163310	Bacteria	GCA_041395665.1_ASM4139566v1_genomic	409585	96.38	0.32
GCA_041395675.1_ASM4139567v1_genomic.fna	GCA_041395675.1	Pseudomonadales bacterium (g-proteobacteria)	48	1604354	Bacteria	GCA_041395675.1_ASM4139567v1_genomic	46339	61.66	1.08
GCA_041395705.1_ASM4139570v1_genomic.fna	GCA_041395705.1	Gammaproteobacteria bacterium (g-proteobacteria)	63	2694676	Bacteria	GCA_041395705.1_ASM4139570v1_genomic	78282	83.03	0.0
GCA_041395725.1_ASM4139572v1_genomic.fna	GCA_041395725.1	Gammaproteobacteria bacterium (g-proteobacteria)	1	5036045	Bacteria	GCA_041395725.1_ASM4139572v1_genomic	5036045	99.47	0.49
GCA_041395745.1_ASM4139574v1_genomic.fna	GCA_041395745.1	Porticoccaceae bacterium (g-proteobacteria)	6	2525543	Bacteria	GCA_041395745.1_ASM4139574v1_genomic	724012	98.96	0.03
GCA_041395765.1_ASM4139576v1_genomic.fna	GCA_041395765.1	Gammaproteobacteria bacterium (g-proteobacteria)	7	4680267	Bacteria	GCA_041395765.1_ASM4139576v1_genomic	741470	98.16	0.21
GCA_041395785.1_ASM4139578v1_genomic.fna	GCA_041395785.1	Pseudomonadales bacterium (g-proteobacteria)	20	2302357	Bacteria	GCA_041395785.1_ASM4139578v1_genomic	345156	93.16	1.09
GCA_041395805.1_ASM4139580v1_genomic.fna	GCA_041395805.1	Porticoccaceae bacterium (g-proteobacteria)	10	3013908	Bacteria	GCA_041395805.1_ASM4139580v1_genomic	399870	100.0	2.86
GCA_041395825.1_ASM4139582v1_genomic.fna	GCA_041395825.1	Gammaproteobacteria bacterium (g-proteobacteria)	71	4180913	Bacteria	GCA_041395825.1_ASM4139582v1_genomic	100123	77.21	2.02
GCA_041395845.1_ASM4139584v1_genomic.fna	GCA_041395845.1	Gammaproteobacteria bacterium (g-proteobacteria)	55	4516762	Bacteria	GCA_041395845.1_ASM4139584v1_genomic	165176	90.01	0.98
GCA_041395865.1_ASM4139586v1_genomic.fna	GCA_041395865.1	Pseudomonadales bacterium (g-proteobacteria)	25	2699842	Bacteria	GCA_041395865.1_ASM4139586v1_genomic	178910	96.03	0.37
GCA_041395885.1_ASM4139588v1_genomic.fna	GCA_041395885.1	Pseudomonadales bacterium (g-proteobacteria)	19	3444045	Bacteria	GCA_041395885.1_ASM4139588v1_genomic	680368	96.95	1.79
GCA_041395905.1_ASM4139590v1_genomic.fna	GCA_041395905.1	Pseudomonadales bacterium (g-proteobacteria)	44	4790514	Bacteria	GCA_041395905.1_ASM4139590v1_genomic	216734	97.84	2.69
GCA_041395925.1_ASM4139592v1_genomic.fna	GCA_041395925.1	Pseudomonadales bacterium (g-proteobacteria)	62	5167846	Bacteria	GCA_041395925.1_ASM4139592v1_genomic	197062	93.73	1.05
GCA_041395945.1_ASM4139594v1_genomic.fna	GCA_041395945.1	Pseudomonadales bacterium (g-proteobacteria)	3	5085626	Bacteria	GCA_041395945.1_ASM4139594v1_genomic	3632425	100.0	1.98
GCA_041395965.1_ASM4139596v1_genomic.fna	GCA_041395965.1	Halioglobus sp. (g-proteobacteria)	78	3371919	Bacteria	GCA_041395965.1_ASM4139596v1_genomic	64786	66.85	2.75
GCA_041395985.1_ASM4139598v1_genomic.fna	GCA_041395985.1	Haliea sp. (g-proteobacteria)	10	3430846	Bacteria	GCA_041395985.1_ASM4139598v1_genomic	455288	99.99	0.39
GCA_041396005.1_ASM4139600v1_genomic.fna	GCA_041396005.1	Halioglobus sp. (g-proteobacteria)	28	4053489	Bacteria	GCA_041396005.1_ASM4139600v1_genomic	199097	92.29	0.16
GCA_041396025.1_ASM4139602v1_genomic.fna	GCA_041396025.1	Halioglobus sp. (g-proteobacteria)	14	4067439	Bacteria	GCA_041396025.1_ASM4139602v1_genomic	677783	86.75	0.71
GCA_041396045.1_ASM4139604v1_genomic.fna	GCA_041396045.1	Gammaproteobacteria bacterium (g-proteobacteria)	29	2919465	Bacteria	GCA_041396045.1_ASM4139604v1_genomic	219530	80.77	1.9
GCA_041396065.1_ASM4139606v1_genomic.fna	GCA_041396065.1	Gammaproteobacteria bacterium (g-proteobacteria)	13	2852046	Bacteria	GCA_041396065.1_ASM4139606v1_genomic	637099	99.55	0.05
GCA_041396085.1_ASM4139608v1_genomic.fna	GCA_041396085.1	Candidatus Competibacteraceae bacterium (g-proteobacteria)	158	4155164	Bacteria	GCA_041396085.1_ASM4139608v1_genomic	56692	96.63	6.13
GCA_041396105.1_ASM4139610v1_genomic.fna	GCA_041396105.1	Candidatus Competibacteraceae bacterium (g-proteobacteria)	116	3692770	Bacteria	GCA_041396105.1_ASM4139610v1_genomic	67217	89.8	2.9
GCA_041396125.1_ASM4139612v1_genomic.fna	GCA_041396125.1	Gammaproteobacteria bacterium (g-proteobacteria)	32	6166991	Bacteria	GCA_041396125.1_ASM4139612v1_genomic	277933	88.93	1.47
GCA_041396145.1_ASM4139614v1_genomic.fna	GCA_041396145.1	Candidatus Competibacteraceae bacterium (g-proteobacteria)	122	3356456	Bacteria	GCA_041396145.1_ASM4139614v1_genomic	53488	83.3	1.62
GCA_041396165.1_ASM4139616v1_genomic.fna	GCA_041396165.1	Sedimenticolaceae bacterium (g-proteobacteria)	50	3900591	Bacteria	GCA_041396165.1_ASM4139616v1_genomic	164167	95.45	1.41
GCA_041396185.1_ASM4139618v1_genomic.fna	GCA_041396185.1	Rhodocyclaceae bacterium (b-proteobacteria)	27	2988533	Bacteria	GCA_041396185.1_ASM4139618v1_genomic	202381	94.94	0.35
GCA_041396205.1_ASM4139620v1_genomic.fna	GCA_041396205.1	Rhodocyclaceae bacterium (b-proteobacteria)	65	1800204	Bacteria	GCA_041396205.1_ASM4139620v1_genomic	45241	47.27	4.44
GCA_041396225.1_ASM4139622v1_genomic.fna	GCA_041396225.1	Candidatus Competibacteraceae bacterium (g-proteobacteria)	124	3830434	Bacteria	GCA_041396225.1_ASM4139622v1_genomic	52404	55.85	5.74
GCA_041396245.1_ASM4139624v1_genomic.fna	GCA_041396245.1	Rhodocyclaceae bacterium (b-proteobacteria)	38	3168542	Bacteria	GCA_041396245.1_ASM4139624v1_genomic	165971	95.24	0.31
GCA_041396265.1_ASM4139626v1_genomic.fna	GCA_041396265.1	Rhodocyclaceae bacterium (b-proteobacteria)	123	3327912	Bacteria	GCA_041396265.1_ASM4139626v1_genomic	55265	75.76	2.04
GCA_041396285.1_ASM4139628v1_genomic.fna	GCA_041396285.1	Nitrosomonas sp. (b-proteobacteria)	53	3086141	Bacteria	GCA_041396285.1_ASM4139628v1_genomic	96256	96.17	4.95
GCA_041396305.1_ASM4139630v1_genomic.fna	GCA_041396305.1	Rhodocyclaceae bacterium (b-proteobacteria)	148	3300150	Bacteria	GCA_041396305.1_ASM4139630v1_genomic	40601	53.22	8.11
GCA_041396325.1_ASM4139632v1_genomic.fna	GCA_041396325.1	Nitrosomonas sp. (b-proteobacteria)	1	3737323	Bacteria	GCA_041396325.1_ASM4139632v1_genomic	3737323	100.0	0.0
GCA_041396345.1_ASM4139634v1_genomic.fna	GCA_041396345.1	Nitrosomonas sp. (b-proteobacteria)	62	3028164	Bacteria	GCA_041396345.1_ASM4139634v1_genomic	95501	93.16	0.29
GCA_041396365.1_ASM4139636v1_genomic.fna	GCA_041396365.1	Nitrosomonas sp. (b-proteobacteria)	66	3032143	Bacteria	GCA_041396365.1_ASM4139636v1_genomic	78710	95.04	0.16
GCA_041396385.1_ASM4139638v1_genomic.fna	GCA_041396385.1	Burkholderiaceae bacterium (b-proteobacteria)	57	3110730	Bacteria	GCA_041396385.1_ASM4139638v1_genomic	110282	84.2	2.05
GCA_041396405.1_ASM4139640v1_genomic.fna	GCA_041396405.1	Burkholderiaceae bacterium (b-proteobacteria)	25	3971996	Bacteria	GCA_041396405.1_ASM4139640v1_genomic	284029	98.75	0.28
GCA_041396425.1_ASM4139642v1_genomic.fna	GCA_041396425.1	Burkholderiaceae bacterium (b-proteobacteria)	38	3388824	Bacteria	GCA_041396425.1_ASM4139642v1_genomic	531244	80.29	1.37
GCA_041396445.1_ASM4139644v1_genomic.fna	GCA_041396445.1	Burkholderiaceae bacterium (b-proteobacteria)	88	5515065	Bacteria	GCA_041396445.1_ASM4139644v1_genomic	123679	97.58	2.14
GCA_041396465.1_ASM4139646v1_genomic.fna	GCA_041396465.1	Burkholderiaceae bacterium (b-proteobacteria)	32	4047217	Bacteria	GCA_041396465.1_ASM4139646v1_genomic	244132	99.86	1.51
GCA_041396485.1_ASM4139648v1_genomic.fna	GCA_041396485.1	Burkholderiaceae bacterium (b-proteobacteria)	21	3551550	Bacteria	GCA_041396485.1_ASM4139648v1_genomic	377603	95.27	0.51
GCA_041396505.1_ASM4139650v1_genomic.fna	GCA_041396505.1	Burkholderiaceae bacterium (b-proteobacteria)	21	4170571	Bacteria	GCA_041396505.1_ASM4139650v1_genomic	532164	96.43	0.24
GCA_041396525.1_ASM4139652v1_genomic.fna	GCA_041396525.1	Burkholderiaceae bacterium (b-proteobacteria)	46	4479231	Bacteria	GCA_041396525.1_ASM4139652v1_genomic	251540	87.02	1.37
GCA_041396545.1_ASM4139654v1_genomic.fna	GCA_041396545.1	Burkholderiaceae bacterium (b-proteobacteria)	84	3681448	Bacteria	GCA_041396545.1_ASM4139654v1_genomic	84344	63.85	0.41
GCA_041396565.1_ASM4139656v1_genomic.fna	GCA_041396565.1	Burkholderiaceae bacterium (b-proteobacteria)	51	4250363	Bacteria	GCA_041396565.1_ASM4139656v1_genomic	213974	99.86	0.33
GCA_041396585.1_ASM4139658v1_genomic.fna	GCA_041396585.1	Burkholderiaceae bacterium (b-proteobacteria)	42	5600713	Bacteria	GCA_041396585.1_ASM4139658v1_genomic	249231	87.17	2.27
GCA_041396605.1_ASM4139660v1_genomic.fna	GCA_041396605.1	Burkholderiaceae bacterium (b-proteobacteria)	91	3654498	Bacteria	GCA_041396605.1_ASM4139660v1_genomic	74601	96.5	3.65
GCA_041396625.1_ASM4139662v1_genomic.fna	GCA_041396625.1	Burkholderiaceae bacterium (b-proteobacteria)	81	4661895	Bacteria	GCA_041396625.1_ASM4139662v1_genomic	171269	48.6	3.65
GCA_041396645.1_ASM4139664v1_genomic.fna	GCA_041396645.1	Thiotrichaceae bacterium (g-proteobacteria)	102	2434484	Bacteria	GCA_041396645.1_ASM4139664v1_genomic	38517	49.61	0.18
GCA_041396665.1_ASM4139666v1_genomic.fna	GCA_041396665.1	Burkholderiaceae bacterium (b-proteobacteria)	91	4319649	Bacteria	GCA_041396665.1_ASM4139666v1_genomic	130218	67.22	0.3
GCA_041396685.1_ASM4139668v1_genomic.fna	GCA_041396685.1	Burkholderiaceae bacterium (b-proteobacteria)	53	6126607	Bacteria	GCA_041396685.1_ASM4139668v1_genomic	342713	90.83	3.25
GCA_041396705.1_ASM4139670v1_genomic.fna	GCA_041396705.1	Alphaproteobacteria bacterium (a-proteobacteria)	37	5376452	Bacteria	GCA_041396705.1_ASM4139670v1_genomic	251547	98.77	1.61
GCA_041396725.1_ASM4139672v1_genomic.fna	GCA_041396725.1	Alphaproteobacteria bacterium (a-proteobacteria)	50	1619867	Bacteria	GCA_041396725.1_ASM4139672v1_genomic	50752	65.14	0.35
GCA_041396745.1_ASM4139674v1_genomic.fna	GCA_041396745.1	Sphingobium sp. (a-proteobacteria)	15	2807081	Bacteria	GCA_041396745.1_ASM4139674v1_genomic	735267	100.0	0.01
GCA_041396765.1_ASM4139676v1_genomic.fna	GCA_041396765.1	Sphingobium sp. (a-proteobacteria)	6	2788430	Bacteria	GCA_041396765.1_ASM4139676v1_genomic	586345	92.96	0.08
GCA_041396785.1_ASM4139678v1_genomic.fna	GCA_041396785.1	Novosphingobium sp. (a-proteobacteria)	29	4032335	Bacteria	GCA_041396785.1_ASM4139678v1_genomic	284612	87.02	0.97
GCA_041396805.1_ASM4139680v1_genomic.fna	GCA_041396805.1	Erythrobacter sp. (a-proteobacteria)	6	3082873	Bacteria	GCA_041396805.1_ASM4139680v1_genomic	1650773	96.84	0.33
GCA_041396825.1_ASM4139682v1_genomic.fna	GCA_041396825.1	Novosphingobium sp. (a-proteobacteria)	45	1788524	Bacteria	GCA_041396825.1_ASM4139682v1_genomic	75952	55.8	0.02
GCA_041396845.1_ASM4139684v1_genomic.fna	GCA_041396845.1	Caenibius sp. (a-proteobacteria)	10	2987553	Bacteria	GCA_041396845.1_ASM4139684v1_genomic	706939	99.98	0.06
GCA_041396865.1_ASM4139686v1_genomic.fna	GCA_041396865.1	Caenibius sp. (a-proteobacteria)	36	2093707	Bacteria	GCA_041396865.1_ASM4139686v1_genomic	109981	61.44	0.11
GCA_041396885.1_ASM4139688v1_genomic.fna	GCA_041396885.1	Blastomonas sp. (a-proteobacteria)	6	3456068	Bacteria	GCA_041396885.1_ASM4139688v1_genomic	952308	99.99	0.31
GCA_041396905.1_ASM4139690v1_genomic.fna	GCA_041396905.1	Sphingomonadaceae bacterium (a-proteobacteria)	44	2696323	Bacteria	GCA_041396905.1_ASM4139690v1_genomic	102365	82.39	0.02
GCA_041396925.1_ASM4139692v1_genomic.fna	GCA_041396925.1	Altererythrobacter sp. (a-proteobacteria)	74	2667046	Bacteria	GCA_041396925.1_ASM4139692v1_genomic	59234	89.77	3.99
GCA_041396945.1_ASM4139694v1_genomic.fna	GCA_041396945.1	Sphingomonadaceae bacterium (a-proteobacteria)	56	2877472	Bacteria	GCA_041396945.1_ASM4139694v1_genomic	105035	77.45	1.54
GCA_041396965.1_ASM4139696v1_genomic.fna	GCA_041396965.1	Rickettsiales bacterium (a-proteobacteria)	2	2176253	Bacteria	GCA_041396965.1_ASM4139696v1_genomic	2054897	100.0	0.03
GCA_041396985.1_ASM4139698v1_genomic.fna	GCA_041396985.1	Emcibacteraceae bacterium (a-proteobacteria)	6	3141576	Bacteria	GCA_041396985.1_ASM4139698v1_genomic	748730	99.64	0.5
GCA_041397005.1_ASM4139700v1_genomic.fna	GCA_041397005.1	Thalassovita sp. (a-proteobacteria)	30	3426137	Bacteria	GCA_041397005.1_ASM4139700v1_genomic	265492	89.3	0.17
GCA_041397015.1_ASM4139701v1_genomic.fna	GCA_041397015.1	Paracoccaceae bacterium (a-proteobacteria)	145	2890118	Bacteria	GCA_041397015.1_ASM4139701v1_genomic	44228	78.77	13.57
GCA_041397045.1_ASM4139704v1_genomic.fna	GCA_041397045.1	Paracoccaceae bacterium (a-proteobacteria)	27	3621139	Bacteria	GCA_041397045.1_ASM4139704v1_genomic	217995	86.39	2.51
GCA_041397065.1_ASM4139706v1_genomic.fna	GCA_041397065.1	Paracoccaceae bacterium (a-proteobacteria)	49	2906061	Bacteria	GCA_041397065.1_ASM4139706v1_genomic	134330	77.2	0.33
